time,ax,ay,az
58:18.7,-0.01,0,0.06
58:18.8,0.01,0,-0.04
58:18.9,0,0.01,-0.06
58:19.0,0.03,0.02,0.04
58:19.1,-0.02,0,0.09
58:19.2,0.01,-0.02,0.01
58:19.3,0.02,0,-0.03
58:19.4,0.02,-0.01,-0.02
58:19.5,-0.01,-0.02,-0.01
58:19.6,-0.04,-0.03,-0.01
58:19.7,0.04,-0.02,-0.04
58:19.8,0.06,-0.08,0.14
58:19.9,-0.08,-0.1,-0.09
58:20.0,0,-0.12,-0.03
58:20.1,0.01,-0.14,0.06
58:20.2,0.05,-0.05,0.02
58:20.3,-0.04,-0.06,0.02
58:20.4,-0.03,-0.08,-0.02
58:20.5,0.03,-0.1,0.02
58:20.6,0.04,-0.05,-0.04
58:20.7,-0.02,-0.03,0.05
58:20.8,-0.01,-0.02,0.03
58:20.9,0.02,0.01,0.06
58:21.0,-0.04,0.02,-0.02
58:21.1,-0.02,0.05,0.01
58:21.2,-0.01,0.01,0.03
58:21.3,-0.05,0,-0.04
58:21.4,0,0.02,0.01
58:21.5,-0.02,0.01,-0.04
58:21.6,-0.05,-0.04,0.01
58:21.7,-0.02,-0.04,0.02
58:21.8,-0.01,-0.04,-0.02
58:21.9,-0.02,-0.04,0.02
58:22.0,0.01,-0.06,0.01
58:22.1,0,-0.03,-0.07
58:22.2,-0.02,0.04,0.02
58:22.3,0.01,0.02,0.01
58:22.4,0.01,0.03,-0.01
58:22.5,0,0.01,0.02
58:22.6,0.03,0.03,0.05
58:22.7,0.04,0.05,-0.03
58:22.8,0.05,0.09,-0.12
58:22.9,0.08,0.14,0.23
58:23.0,-0.06,0.08,0.09
58:23.1,0.03,0.06,-0.06
58:23.2,0.07,0.1,0.07
58:23.3,0.14,0.09,-0.03
58:23.4,-0.02,0.03,-0.1
58:23.5,-0.06,0.06,-0.01
58:23.6,0.01,0.03,0
58:23.7,0.07,0,0.04
58:23.8,0.03,-0.01,-0.03
58:23.9,-0.01,-0.05,-0.04
58:24.0,0.02,-0.08,0.04
58:24.1,-0.01,-0.1,0.06
58:24.2,0,-0.07,-0.03
58:24.3,-0.02,-0.06,0.06
58:24.4,-0.01,-0.01,0
58:24.5,-0.06,-0.02,0.06
58:24.6,0.01,0,0.17
58:24.7,-0.05,0.06,0.06
58:24.8,-0.08,0.06,-0.04
58:24.9,-0.02,0.02,-0.05
58:25.0,-0.03,0.06,0.04
58:25.1,0.01,0.07,-0.01
58:25.2,0.01,0.07,-0.01
58:25.3,-0.02,0.09,0.02
58:25.4,-0.03,0.07,-0.02
