time,ax,ay,az
50:44.2,0.11,0.03,0.06
50:44.3,0.05,0.03,0.21
50:44.4,-0.12,0,-0.04
50:44.5,-0.03,0.03,-0.16
50:44.6,0.16,0.03,0.11
50:44.7,0.08,0.01,-0.05
50:44.8,-0.14,0,0
50:44.9,0.03,0.04,-0.1
50:45.0,0.22,0.02,0.02
50:45.1,0.07,0.03,0.05
50:45.2,-0.09,0.04,0.08
50:45.3,0.02,0.01,0.06
50:45.4,0.07,-0.01,0.07
50:45.5,0.04,0.04,0.19
50:45.6,0.01,0.02,-0.06
50:45.7,-0.03,0.02,0.04
50:45.8,-0.08,0,0.03
50:45.9,-0.02,0.02,0.17
50:46.0,0.11,0.06,-0.13
50:46.1,0.11,0.09,-0.25
50:46.2,-0.02,0.02,0.12
50:46.3,-0.16,-0.01,0.19
50:46.4,0.01,-0.06,0.12
50:46.5,0.2,0.02,-0.17
50:46.6,0.12,-0.06,-0.05
50:46.7,-0.09,-0.11,0.07
50:46.8,-0.08,-0.11,0
50:46.9,0.09,-0.13,-0.07
50:47.0,0.06,-0.09,0.01
50:47.1,0.03,-0.04,0.04
50:47.2,0.03,-0.02,-0.02
50:47.3,0.01,0.02,-0.06
50:47.4,0,0.03,-0.08
50:47.5,-0.04,0.01,0.08
50:47.6,0.08,0.05,0.04
50:47.7,-0.03,0.08,0.03
50:47.8,-0.09,0.05,-0.03
50:47.9,0.07,0.04,0.01
50:48.0,-0.01,0.02,0.05
50:48.1,0.07,0.05,-0.07
50:48.2,0.03,0.05,0
50:48.3,0.01,0.03,0.04
50:48.4,0.01,0.05,-0.01
50:48.5,0.05,0.04,0.03
50:48.6,0.08,0.04,0.01
50:48.7,0.03,0.03,-0.01
50:48.8,0.02,0.03,0.05
50:48.9,0.01,0.03,0.01
50:49.0,0.03,0.04,-0.01
50:49.1,0.02,0.03,0
50:49.2,0.02,0.04,-0.02
50:49.3,0.02,0.04,-0.03
50:49.4,0.01,0.06,0.02
50:49.5,0.01,0.03,0.04
50:49.6,0.01,0.04,0.01
50:49.7,0.02,0.05,0.04
50:49.8,0.02,0.02,0.01
50:49.9,0.01,0.04,0.02
50:50.0,0.02,0.04,0.03
50:50.1,0.02,0.05,0.01
50:50.2,0.02,0.03,0.03
50:50.3,0.01,0.04,0.04
50:50.4,0.01,0.04,-0.03
50:50.5,0,0.07,-0.09
50:50.6,0.16,0.01,0.08
50:50.7,-0.23,-0.01,-0.17
50:50.8,0.06,0.01,-0.01
50:50.9,0.11,0.02,-0.03
50:51.0,0,0.01,-0.05
50:51.1,0.03,0.06,0.02
50:51.2,0.03,0.01,0
50:51.3,0.04,0.02,-0.03
50:51.4,0.03,0.03,0.01
50:51.5,0.02,0.02,0.07
