time,ax,ay,az
42:35.2,0.01,0.05,0.03
42:35.3,0,0.06,-0.02
42:35.4,0.03,0.04,0.03
42:35.5,0.02,0.05,0.04
42:35.6,0.01,0.04,0.01
42:35.7,0.01,0.05,0
42:35.8,-0.01,0.05,0.02
42:35.9,0.04,0.06,0.03
42:36.0,0,0.05,0.03
42:36.1,0,0.04,0
42:36.2,0.01,0.05,0.03
42:36.3,0.02,0.04,-0.01
42:36.4,0.01,-0.02,0.11
42:36.5,0.04,-0.01,-0.05
42:36.6,0.05,-0.02,-0.06
42:36.7,-0.02,-0.05,0.07
42:36.8,-0.04,-0.04,0.11
42:36.9,-0.02,-0.02,-0.14
42:37.0,0.11,-0.04,-0.06
42:37.1,0.09,-0.02,0.06
42:37.2,-0.04,-0.02,-0.04
42:37.3,-0.07,-0.02,-0.11
42:37.4,-0.02,-0.03,-0.02
42:37.5,0.12,-0.01,0.06
42:37.6,0.1,-0.04,0.24
42:37.7,-0.03,-0.05,0.21
42:37.8,-0.04,-0.06,-0.04
42:37.9,0.01,-0.02,-0.07
42:38.0,0.06,-0.01,-0.16
42:38.1,0.08,-0.02,-0.02
42:38.2,0.02,-0.04,0.16
42:38.3,0,-0.06,0.06
42:38.4,0,-0.06,-0.1
42:38.5,0.01,-0.04,-0.07
42:38.6,0.03,-0.04,0.02
42:38.7,0.03,-0.04,0.07
42:38.8,0.03,-0.02,0.02
42:38.9,0.02,-0.02,-0.01
42:39.0,0,-0.02,-0.05
