time,ax,ay,az
57:55.1,0.01,0.04,0.02
57:55.2,-0.01,0.04,-0.01
57:55.3,0.02,0.02,0.04
57:55.4,0.01,0.04,-0.03
57:55.5,0,0.02,-0.02
57:55.6,0.02,0.01,-0.03
57:55.7,0,0.01,0.01
57:55.8,-0.02,0.02,-0.01
57:55.9,-0.02,0,0.03
57:56.0,-0.01,0.01,0.06
57:56.1,0.02,0.03,-0.01
57:56.2,-0.01,0.02,0
57:56.3,0.01,0.01,0.04
57:56.4,0.01,0,0
57:56.5,0,-0.01,0
57:56.6,0.02,-0.02,0.03
57:56.7,0.03,-0.01,0.04
57:56.8,0.05,-0.01,0.03
57:56.9,0.03,-0.01,-0.09
57:57.0,0.02,-0.02,0.03
57:57.1,0.07,-0.02,0.05
57:57.2,0.01,-0.02,0.03
57:57.3,0.02,-0.02,-0.02
57:57.4,0.02,-0.03,0.03
57:57.5,0.03,-0.02,0
57:57.6,0.02,-0.03,0.1
57:57.7,0.03,-0.01,-0.06
57:57.8,0.05,-0.03,0
57:57.9,0.05,-0.05,0.09
57:58.0,0.03,-0.03,0.03
57:58.1,0.02,-0.02,-0.09
57:58.2,0.07,-0.03,0.08
57:58.3,-0.01,-0.03,0
57:58.4,0.03,-0.02,-0.03
57:58.5,0.01,-0.03,0.01
57:58.6,0.01,-0.02,0.02
57:58.7,0.01,-0.01,-0.02
57:58.8,0.03,-0.02,0.07
57:58.9,0.03,-0.04,0.05
57:59.0,-0.04,-0.04,0.04
57:59.1,0.01,-0.04,0.08
57:59.2,0,-0.02,-0.09
57:59.3,0.02,-0.01,-0.01
57:59.4,0,-0.03,-0.02
57:59.5,0.02,-0.04,0.11
57:59.6,-0.02,-0.03,0.01
57:59.7,-0.01,-0.03,0.06
57:59.8,0.02,-0.04,0.04
57:59.9,-0.03,-0.02,0.02
58:00.0,0,-0.01,0.01
58:00.1,0.03,0,-0.03
58:00.2,-0.01,-0.04,-0.03
58:00.3,0.03,-0.04,0.11
58:00.4,0.01,-0.03,-0.01
58:00.5,-0.02,-0.01,-0.02
58:00.6,0.01,-0.01,0.06
58:00.7,-0.03,-0.01,0
58:00.8,-0.02,-0.01,0.01
58:00.9,-0.02,0.02,0.01
58:01.0,-0.01,0.03,-0.03
58:01.1,-0.04,0.03,0.09
58:01.2,-0.01,0.04,-0.06
58:01.3,-0.04,0.05,-0.05
58:01.4,0,0.05,0.03
58:01.5,0.04,0.06,0.01
58:01.6,-0.03,0.03,0.06
58:01.7,0.02,0.04,0.11
58:01.8,-0.01,0.05,-0.06
58:01.9,-0.04,0.06,-0.06
58:02.0,0.04,0.05,-0.04
58:02.1,-0.03,0.05,0.06
58:02.2,-0.02,0.05,-0.01
58:02.3,-0.01,0.07,0.04
58:02.4,0.01,0.06,-0.01
58:02.5,-0.03,0.05,-0.02
58:02.6,0,0.06,0
58:02.7,0.01,0.05,-0.01
58:02.8,0,0.04,-0.02
58:02.9,-0.02,0.05,0
58:03.0,0.02,0.04,0.14
58:03.1,0.03,0.03,0.01
58:03.2,-0.02,0.06,-0.02
58:03.3,0.02,0.05,-0.04
58:03.4,-0.02,0.04,-0.04
58:03.5,-0.01,0.04,-0.01
58:03.6,-0.01,0.05,-0.01
58:03.7,-0.03,0.04,-0.04
58:03.8,0.05,0.02,0.11
58:03.9,0.01,0.05,-0.04
58:04.0,0.02,0.03,0.11
58:04.1,0.05,0.04,-0.05
58:04.2,0.01,0.04,-0.05
58:04.3,-0.04,0.03,-0.07
58:04.4,0.05,0.04,0.11
58:04.5,0.04,0.03,0.03
58:04.6,-0.02,0.02,0.03
58:04.7,0.01,0.01,0.04
58:04.8,0.01,0.02,-0.01
58:04.9,0,0.03,0.08
58:05.0,-0.01,0.03,0.07
58:05.1,0.01,0.03,-0.06
58:05.2,-0.02,0.02,0
58:05.3,0.01,0.02,0.01
58:05.4,0.01,0.04,-0.01
58:05.5,0.01,0.01,0.03
58:05.6,0.01,0.01,-0.04
58:05.7,0,0.02,0.04
58:05.8,0,0.02,0.04
58:05.9,0.02,0.03,-0.07
58:06.0,0.01,0.03,0.04
58:06.1,0.01,0.04,-0.03
58:06.2,0.01,0.03,-0.07
58:06.3,-0.02,0.01,0.09
58:06.4,-0.01,0.03,-0.01
58:06.5,-0.01,0.03,0.04
58:06.6,-0.01,0.04,0.06
58:06.7,0.05,0.04,-0.03
58:06.8,-0.04,0.02,-0.09
