time,ax,ay,az
53:56.1,0.01,-0.09,0.03
53:56.2,0.01,-0.08,0.06
53:56.3,0.03,-0.07,-0.02
53:56.4,0.03,-0.08,-0.01
53:56.5,0.02,-0.08,0.01
53:56.6,0.02,-0.09,0.03
53:56.7,0.03,-0.08,-0.01
53:56.8,-0.01,-0.09,-0.02
53:56.9,0.02,-0.1,0.01
53:57.0,-0.01,-0.09,0
53:57.1,0.01,-0.11,0.02
53:57.2,0.02,-0.12,0.02
53:57.3,0,-0.13,0.01
53:57.4,0,-0.13,0.01
53:57.5,0.03,-0.13,-0.01
53:57.6,0.04,-0.11,0.03
53:57.7,0.03,-0.13,0.02
53:57.8,0.01,-0.11,-0.02
53:57.9,0.03,-0.1,-0.03
53:58.0,0.06,-0.08,-0.01
53:58.1,0.02,-0.06,0.01
53:58.2,0.03,-0.05,-0.01
53:58.3,0.02,-0.05,0.01
53:58.4,0.03,-0.04,0
53:58.5,0.01,-0.04,0.01
53:58.6,0,-0.03,-0.02
53:58.7,0,-0.04,-0.01
53:58.8,-0.01,-0.05,0.03
53:58.9,0.01,-0.05,0
53:59.0,0.01,-0.04,-0.01
53:59.1,0.01,-0.04,0.04
53:59.2,0.02,-0.04,0.04
53:59.3,0.01,-0.03,-0.01
53:59.4,0.04,-0.02,0.04
53:59.6,0.04,-0.02,0.04
53:59.7,0.01,-0.03,0.03
53:59.8,0.02,-0.02,0.05
53:59.9,0.01,-0.03,0.03
54:00.0,0,-0.03,0.05
54:00.1,0,-0.04,0.02
54:00.2,0,-0.05,0.03
54:00.3,0,-0.03,0.01
54:00.4,-0.01,-0.04,-0.03
54:00.5,0.01,-0.03,0.05
54:00.6,0,-0.03,0.01
54:00.7,-0.02,-0.02,-0.04
54:00.8,0.01,-0.02,0.03
54:00.9,0,-0.01,0.04
54:01.0,0,0.01,-0.01
54:01.1,0,0,-0.02
54:01.2,-0.01,0,0.03
54:01.3,0,0,0.04
54:01.4,-0.01,0.02,-0.03
54:01.5,-0.01,0.02,-0.01
54:01.6,0.02,0.01,-0.01
54:01.7,0,0.01,0.03
54:01.8,0,0.02,0.02
54:01.9,-0.01,0.02,-0.01
54:02.0,0.03,0.03,-0.01
54:02.1,0.01,0.04,0.02
54:02.2,0.01,0.03,0.03
54:02.3,0.02,0.06,0.01
54:02.4,0.02,0.05,0.05
54:02.5,0,0.04,0
54:02.6,0,0.06,0
54:02.7,0.02,0.05,0.01
54:02.8,0.01,0.05,0.01
54:02.9,0.01,0.06,0.01
54:03.0,0.04,0.04,0.06
54:03.1,0.02,0.07,0.02
54:03.2,-0.04,0.08,-0.07
54:03.3,-0.01,0.04,0.05
54:03.4,0.06,0.04,0.09
54:03.5,0.01,0.04,-0.02
54:03.6,-0.02,0.02,0
54:03.7,0,-0.04,0.05
54:03.8,0.01,-0.01,0
54:03.9,0.01,0,0.01
54:04.0,-0.01,-0.01,-0.01
54:04.1,0,0.01,0.01
54:04.2,0.02,0.02,0.04
54:04.3,0,0.02,-0.02
54:04.4,0.01,0,0.01
54:04.5,0,-0.01,0.03
54:04.6,0.01,0.01,0.03
54:04.7,0.01,0.02,0
54:04.8,0,0,0.01
54:04.9,0.01,0.01,0
54:05.0,0.02,0.02,0.01
54:05.1,0.01,0.03,0.01
54:05.2,0.01,0.06,0
54:05.3,0.01,0.07,0
54:05.4,0,0.06,0.03
54:05.5,0.01,0.08,0.01
54:05.6,0,0.1,0.01
54:05.7,0.02,0.08,0.01
54:05.8,0.01,0.1,0
54:05.9,0,0.11,0
54:06.0,-0.02,0.09,0.03
54:06.1,0,0.12,0.01
54:06.2,0.01,0.09,-0.01
54:06.3,0.01,0.11,-0.01
54:06.4,-0.02,0.13,0.05
54:06.5,0,0.13,0.04
54:06.6,0.01,0.14,0.02
54:06.7,0.04,0.14,0.01
54:06.8,0,0.15,-0.02
54:06.9,-0.01,0.13,0.05
54:07.0,0,0.14,0
54:07.1,0.02,0.14,-0.01
54:07.2,0.01,0.14,0.01
54:07.3,0.01,0.13,0.01
54:07.4,0.01,0.13,0.02
54:07.5,0,0.13,0.01
54:07.6,-0.01,0.12,0.02
54:07.7,0.01,0.11,0.02
54:07.8,0.01,0.07,0
54:07.9,0.01,0.03,0.01
54:08.0,0.01,0.02,0
54:08.1,0.01,0.02,0.03
54:08.2,0.01,0.02,0.01
54:08.3,0,0.01,0.01
54:08.4,0,0.01,0
54:08.5,0,0.01,0
54:08.6,0,0.01,0.01
54:08.7,0,0.01,0.02
54:08.8,0.02,0,0.03
54:08.9,0,0,0.01
54:09.0,0.02,0,0.01
54:09.1,0,0.01,0.02
54:09.2,0,0.01,0
54:09.3,0.01,0,0.02
54:09.4,0,0.01,0.02
54:09.5,0,0,-0.01
54:09.6,0,0,0.01
54:09.7,0,0,0
54:09.8,0,0,0.03
54:09.9,0.01,0,0.02
54:10.0,0.02,0,0
54:10.1,0,0,0.01
54:10.2,0,0.01,0
54:10.3,0.02,0.01,0.01
54:10.4,0.01,0,0
54:10.5,0.02,0,0.01
54:10.6,0.01,0.01,-0.02
54:10.7,0,0,0.01
54:10.8,0,0,0.01
54:10.9,0,0.01,0
54:11.0,0.01,0,0.02
54:11.1,0.01,0,0
54:11.2,0.01,0,0.01
54:11.3,0.01,0,0.01
54:11.4,0.01,0,0.04
54:11.5,0,0.01,0.01
54:11.6,0.02,0.03,-0.01
54:11.7,0.01,0.04,0.02
54:11.8,0.01,0.04,0.01
54:11.9,0.01,0.05,0
54:12.0,0,0.05,0
54:12.1,0,0.04,0.01
54:12.2,0.01,0.04,0.02
54:12.3,0.02,0.05,0
54:12.4,0.01,0.04,0.02
54:12.5,0,0.04,0
54:12.6,0,0.04,0
54:12.7,0,0.05,0.02
54:12.8,0,0.06,0.02
54:12.9,0.01,0.08,0.01
54:13.0,0.01,0.08,0.02
54:13.1,0.01,0.08,0.01
54:13.2,0,0.1,0.01
54:13.3,0.02,0.11,0
54:13.4,0,0.12,0.01
54:13.5,-0.01,0.14,0.01
54:13.6,0,0.15,0
54:13.7,0,0.15,0.01
54:13.8,0.01,0.14,0
54:13.9,0,0.15,0
54:14.0,0,0.14,0.01
54:14.1,0.01,0.14,0
54:14.2,0,0.14,0.01
54:14.3,0.01,0.13,0.01
54:14.4,0.02,0.14,0.01
54:14.5,0,0.14,0.01
54:14.6,0,0.14,0
54:14.7,0,0.13,0
54:14.8,0,0.13,0.01
54:14.9,0.01,0.13,0.01
54:15.0,0.01,0.09,0.01
54:15.1,0,-0.02,-0.01
54:15.2,0.01,-0.04,0.01
54:15.3,0.01,-0.04,0
54:15.4,0.01,-0.05,0.02
54:15.5,0.01,-0.05,0.01
54:15.6,0.01,-0.06,0.01
54:15.7,0.01,-0.06,0.02
54:15.8,0,-0.06,0.01
54:15.9,0.01,-0.06,0
54:16.0,0,-0.07,0
54:16.2,0.01,-0.08,0.02
54:16.3,0,-0.1,0
54:16.4,0.01,-0.11,0.01
54:16.5,0.01,-0.13,0
54:16.6,0.02,-0.17,0.02
54:16.7,0,-0.18,-0.01
54:16.8,0.03,-0.19,0.01
54:16.9,0.02,-0.2,0.02
54:17.0,0.01,-0.2,0.01
54:17.1,0.01,-0.19,-0.01
54:17.2,0.01,-0.19,-0.02
54:17.3,0.02,-0.18,0
54:17.4,0.02,-0.19,0.04
54:17.5,0.02,-0.19,0.04
54:17.6,0,-0.19,0.01
54:17.7,0.03,-0.18,-0.01
54:17.8,0.03,-0.19,0.04
54:17.9,0.01,-0.18,0.04
54:18.0,0.01,-0.15,-0.05
54:18.1,0.01,-0.16,0.01
54:18.2,0.01,-0.15,0.06
54:18.3,0.01,-0.15,0.01
54:18.4,0.04,-0.16,0.03
54:18.5,0,-0.14,0
54:18.6,0.01,-0.14,-0.04
54:18.7,0.01,-0.15,0.06
54:18.8,0.03,-0.12,0.04
54:18.9,0.01,-0.14,-0.04
54:19.0,0.01,-0.12,0.01
54:19.1,0.01,-0.13,0.04
54:19.2,0.01,-0.13,0.03
54:19.3,0.02,-0.14,0.01
54:19.4,0.01,-0.13,0.01
54:19.5,0.01,-0.14,-0.07
54:19.6,0.04,-0.13,0.03
54:19.7,0.02,-0.14,0.07
54:19.8,0.01,-0.13,0.07
54:19.9,0.01,-0.11,-0.12
54:20.0,0,-0.1,-0.03
54:20.1,0.03,-0.1,0.05
54:20.2,0.01,-0.1,0.01
54:20.3,0,-0.11,-0.03
54:20.4,0.01,-0.11,0.01
54:20.5,0.03,-0.09,-0.03
54:20.6,-0.01,-0.09,-0.01
54:20.7,0.01,-0.09,0.02
54:20.8,0.02,-0.09,0.01
54:20.9,0.01,-0.09,0.02
54:21.0,0.01,-0.09,0.01
54:21.1,0.03,-0.09,-0.01
54:21.2,0.01,-0.1,-0.02
54:21.3,0.02,-0.1,0.02
54:21.4,0,-0.08,0.03
54:21.5,0.01,-0.09,-0.01
54:21.6,0.05,-0.08,0.01
54:21.7,0.03,-0.07,0.03
54:21.8,0.02,-0.08,0.07
54:21.9,0.01,-0.07,0.05
54:22.0,0.02,-0.07,0.03
54:22.1,0.01,-0.08,0.03
